atom,n,orbital,orbital_index
Sr,4,1,1
Sr,5,1,2
Sr,4,2,3
Sr,5,2,4
Nb,4,1,5
Nb,5,1,6
Nb,4,2,7
Nb,5,2,8
Nb,4,3,9
O1,2,1,10
O1,2,2,11
O2,2,1,12
O2,2,2,13
O3,2,1,14
O3,2,2,15
