atom,posX,posY,posZ
Nba,0.005210000000000,0.090050000000000,0.500000000000000 
Nbb,0.994790000000000,0.909950000000000,0.500000000000000 
Nbc,0.494790000000000,0.590050000000000,0.000000000000000 
Nbd,0.505210000000000,0.409950000000000,0.000000000000000 
Nbe,0.034180000000000,0.323220000000000,0.000000000000000 
Nbf,0.965820000000000,0.676780000000000,0.000000000000000 
Nbg,0.465820000000000,0.823220000000000,0.500000000000000 
Nbh,0.534180000000000,0.176780000000000,0.500000000000000 
Nbi,0.000000000000000,0.500000000000000,0.000000000000000 
Nbj,0.500000000000000,0.000000000000000,0.500000000000000 
Sra,0.002312000000000,0.590117000000000,0.500000000000000 
Srb,0.997688000000000,0.409883000000000,0.500000000000000 
Src,0.497688000000000,0.090117000000000,0.000000000000000 
Srd,0.502312000000000,0.909883000000000,0.000000000000000 
Sre,0.067048000000000,0.217004000000000,0.000000000000000 
Srf,0.932952000000000,0.782996000000000,0.000000000000000 
Srg,0.432952000000000,0.717004000000000,0.500000000000000 
Srh,0.567048000000000,0.282996000000000,0.500000000000000 
Sri,0.000000000000000,0.000000000000000,0.000000000000000 
Srj,0.500000000000000,0.500000000000000,0.500000000000000 
Oa, 0.001550000000000,0.330851000000000,0.500000000000000 
Ob, 0.998450000000000,0.669149000000000,0.500000000000000 
Oc, 0.498450000000000,0.830851000000000,0.000000000000000 
Od, 0.501550000000000,0.169149000000000,0.000000000000000 
Oe, 0.009049000000000,0.916644000000000,0.000000000000000 
Of, 0.990951000000000,0.083356000000000,0.000000000000000 
Og, 0.490951000000000,0.416644000000000,0.500000000000000 
Oh, 0.509049000000000,0.583356000000000,0.500000000000000 
Oi, 0.183156000000000,0.720183000000000,0.000000000000000 
Oj,0.816844000000000,0.279817000000000,0.000000000000000 
Ok,0.316844000000000,0.220183000000000,0.500000000000000 
Ol,0.683156000000000,0.779817000000000,0.500000000000000 
Om,0.201726000000000,0.791126000000000,0.500000000000000 
On,0.798274000000000,0.208874000000000,0.500000000000000 
Oo,0.298274000000000,0.291126000000000,0.000000000000000 
Op,0.701726000000000,0.708874000000000,0.000000000000000 
Oq,0.206008000000000,0.379798000000000,0.000000000000000 
Or,0.793992000000000,0.620202000000000,0.000000000000000 
Os,0.293992000000000,0.879798000000000,0.500000000000000 
Ot,0.706008000000000,0.120202000000000,0.500000000000000 
Ou,0.219083000000000,0.963713000000000,0.500000000000000 
Ov,0.780917000000000,0.036287000000000,0.500000000000000 
Ow,0.280917000000000,0.463713000000000,0.000000000000000 
Ox,0.719083000000000,0.536287000000000,0.000000000000000 
Oy,0.222440000000000,0.548138000000000,0.000000000000000 
Oz,0.777560000000000,0.451862000000000,0.000000000000000 
Oaa,0.277560000000000,0.048138000000000,0.500000000000000 
Oab,0.722440000000000,0.951862000000000,0.500000000000000 
Oac,0.224576000000000,0.132043000000000,0.500000000000000 
Oad,0.775424000000000,0.867957000000000,0.500000000000000 
Oae,0.275424000000000,0.632043000000000,0.000000000000000 
Oaf,0.724576000000000,0.367957000000000,0.000000000000000 
Oag,0.000000000000000,0.500000000000000,0.500000000000000 
Oah,0.500000000000000,0.000000000000000,0.000000000000000 
